c,CATEGORY,CLASS TYPE,PRODUCT,UNIT,QUANTITY,RUPEES,DOLLARS,% QUANTITY,% RUPEES,% DOLLARS,STATUS,Year,Quarter,Month,Day
214,FOOD GROUP,, SUGAR,MT,251,36,226,2.45,33.33,33.73,Import,2021,Qtr 1,February,1
215,FOOD GROUP,, PULSES (LEGUMINOUS VEGETABLES),MT,79210,7582,47646,9.59,11.27,11.98,Import,2021,Qtr 1,February,1
216,FOOD GROUP,, ALL OTHERS FOOD ITEMS,,,37154,233480,,14.21,14.94,Import,2021,Qtr 1,February,1
218,MACHINERY GROUP,, POWER GENERATING MACHINERY,,,31569,198383,,3.06,3.72,Import,2021,Qtr 1,February,1
219,MACHINERY GROUP,, OFFICE MACHINE INCL DATA PROC EQUIP;,,,5957,37434,,10.87,11.58,Import,2021,Qtr 1,February,1
220,MACHINERY GROUP,, TEXTILE MACHINERY,,,6252,39288,,-24.19,-23.7,Import,2021,Qtr 1,February,1
221,MACHINERY GROUP,, CONSTRUCTION & MINING MACHINERY,,,2118,13310,,28.05,28.87,Import,2021,Qtr 1,February,1
222,MACHINERY GROUP,, ELECTRICAL MACHINERY & APPARATUS,,,23366,146835,,-3.53,-2.91,Import,2021,Qtr 1,February,1
224,MACHINERY GROUP, TELE COM, MOBILE PHONE,,,27979,175823,,-11.25,-10.68,Import,2021,Qtr 1,February,1
225,MACHINERY GROUP, TELE COM, OTHER APPARATUS,,,9772,61408,,101.86,103.16,Import,2021,Qtr 1,February,1
226,MACHINERY GROUP,, AGRICULTURAL MACHINERY & IMPLEMENTS,,,1255,7887,,-5,-4.38,Import,2021,Qtr 1,February,1
227,MACHINERY GROUP,, OTHER MACHINERY,,,39089,245640,,-0.93,-0.29,Import,2021,Qtr 1,February,1
231,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)","CBU-BUSES,TRUCKS & OTH  HEAVY VEHICLES",,,955,6001,,-49.84,-49.52,Import,2021,Qtr 1,February,1
