#,CATEGORY,CLASS TYPE,PRODUCT,UNIT,QUANTITY,RUPEES,DOLLARS,% QUANTITY,% RUPEES,% DOLLARS,STATUS,Year,Quarter,Month,Day
2302,FOOD GROUP,,LEGUMINOUS VEGETABLES (PULSES),M.T,0,0,0,0,0,0,Export,2023,Qtr 1,March,1
2303,FOOD GROUP,,TOBACCO,M.T,2839,1529,5456,-18.62,-31.5,-34.8,Export,2023,Qtr 1,March,1
2304,FOOD GROUP,,WHEAT,M.T,0,0,0,0,0,0,Export,2023,Qtr 1,March,1
2305,FOOD GROUP,,SPICES,M.T,2170,2328,8310,7.12,11.9,6.5,Export,2023,Qtr 1,March,1
2306,FOOD GROUP,,"OIL SEEDS, NUTS AND KERNALS",M.T,68260,11762,41977,1307.63,303.55,284.05,Export,2023,Qtr 1,March,1
2307,FOOD GROUP,,SUGAR,M.T,129746,17389,62058,205.76,210.59,195.6,Export,2023,Qtr 1,March,1
2308,FOOD GROUP,,MEAT AND MEAT PREPARATIONS,M.T,11217,12732,45438,53.02,62.27,54.44,Export,2023,Qtr 1,March,1
2309,FOOD GROUP,,ALL OTHER FOOD ITEMS,,,22600,80657,,11.02,5.66,Export,2023,Qtr 1,March,1
2311,TEXTILE GROUP,,RAW COTTON,M.T,342,196,701,100,100,100,Export,2023,Qtr 1,March,1
2312,TEXTILE GROUP,,COTTON YARN,M.T,23479,19073,68069,24.34,28.64,22.43,Export,2023,Qtr 1,March,1
2313,TEXTILE GROUP,,COTTON CLOTH,M.T,29792,44260,157956,4.49,7.26,2.09,Export,2023,Qtr 1,March,1
2314,TEXTILE GROUP,,COTTON CARDED OR COMBED,M.T,12,7,26,0.4,22.66,18.18,Export,2023,Qtr 1,March,1
2315,TEXTILE GROUP,,YARN OTHER THAN COTTON YARN,M.T,1229,940,3356,-3.45,3.45,-1.53,Export,2023,Qtr 1,March,1
2316,TEXTILE GROUP,,KNITWEAR,TH.DOZ,16858,87269,311450,18.46,18.09,12.39,Export,2023,Qtr 1,March,1
2317,TEXTILE GROUP,,BED WEAR,M.T,31438,55154,196837,4.55,5.63,0.53,Export,2023,Qtr 1,March,1
2318,TEXTILE GROUP,,TOWELS,M.T,16575,22077,78791,2.37,-1.05,-5.82,Export,2023,Qtr 1,March,1
2319,TEXTILE GROUP,,"TENTS,CANVAS & TARPULIN",M.T,3957,4605,16434,28.04,41.43,34.59,Export,2023,Qtr 1,March,1
2320,TEXTILE GROUP,,READYMADE GARMENTS,TH.DOZ,6514,77456,276428,13.4,13.83,8.34,Export,2023,Qtr 1,March,1
2321,TEXTILE GROUP,,"ART,SILK & SYNTHETIC TEXTILE",M.T,8120,10186,36352,7.76,12.77,7.32,Export,2023,Qtr 1,March,1
2322,TEXTILE GROUP,,MADEUP ARTICLES(EXCL TOWELS & BEDWEAR,,,14010,49998,,5.67,0.57,Export,2023,Qtr 1,March,1
2323,TEXTILE GROUP,,OTHER TEXTILE MATERIALS,,,17206,61406,,9.03,3.77,Export,2023,Qtr 1,March,1
2325,PETROLEUM GROUP & COAL,,PETROLEUM CRUDE,M.T,0,0,0,-100,-100,-100,Export,2023,Qtr 1,March,1
2326,PETROLEUM GROUP & COAL,,PETROLEUM PRODUCTS(EXCL TOP NAPHTA),M.T,10549,930,3318,-75.95,-76.53,-77.66,Export,2023,Qtr 1,March,1
2327,PETROLEUM GROUP & COAL,,PETROLEUM TOP NAPHTA,M.T,0,0,0,0,0,0,Export,2023,Qtr 1,March,1
2328,PETROLEUM GROUP & COAL,,SOLID FUELS (COAL),M.T,0,0,0,-100,-100,-100,Export,2023,Qtr 1,March,1
2330,OTHER MANUFACTURES GROUP,,"CARPETS, RUGS & MATS",TH.SQM,250,1651,5891,31.58,33.03,26.61,Export,2023,Qtr 1,March,1
2332,OTHER MANUFACTURES GROUP,SPORTS GOODS,FOOTBALLS,TH.DOZ,480,6247,22294,41.18,43.14,36.24,Export,2023,Qtr 1,March,1
2333,OTHER MANUFACTURES GROUP,SPORTS GOODS,GLOVES,TH.DOZ,198,1400,4997,32,32.27,25.9,Export,2023,Qtr 1,March,1
2334,OTHER MANUFACTURES GROUP,SPORTS GOODS,OTHERS,,,2427,8662,,13.5,8.02,Export,2023,Qtr 1,March,1
2335,OTHER MANUFACTURES GROUP,,LEATHER TANNED,M.T,965,3616,12906,13.67,7.49,2.3,Export,2023,Qtr 1,March,1
2337,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GARMENTS,TH.DOZ,131,4709,16805,-2.59,-1.93,-6.66,Export,2023,Qtr 1,March,1
2338,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GLOVES,TH.DOZ,835,6408,22870,19.04,19.7,13.92,Export,2023,Qtr 1,March,1
2339,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,OTHER LEATHER MANUFACTURES,,,298,1065,,30.21,23.84,Export,2023,Qtr 1,March,1
2341,OTHER MANUFACTURES GROUP,FOOTWEAR,LEATHER FOOTWEAR,TH.Pairs,780,2440,8706,-27.46,-25.89,-29.47,Export,2023,Qtr 1,March,1
2342,OTHER MANUFACTURES GROUP,FOOTWEAR,CANVAS FOOTWEAR,TH.Pairs,27,61,216,35,44.36,37.58,Export,2023,Qtr 1,March,1
2343,OTHER MANUFACTURES GROUP,FOOTWEAR,OTHER FOOTWEAR,TH.Pairs,3126,1434,5118,50.72,48.79,41.62,Export,2023,Qtr 1,March,1
2344,OTHER MANUFACTURES GROUP,,SURGICAL GOODS & MEDICAL INSTRUMENTS,,,10570,37724,,14.63,9.1,Export,2023,Qtr 1,March,1
2345,OTHER MANUFACTURES GROUP,,CUTLERY,,,1507,5377,,47.52,40.39,Export,2023,Qtr 1,March,1
2346,OTHER MANUFACTURES GROUP,,ONYX MANUFACTURED,M.T,105,60,216,-61.11,-60.11,-62.04,Export,2023,Qtr 1,March,1
2348,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,FERTILIZER MANUFACTURED,M.T,0,0,0,0,0,0,Export,2023,Qtr 1,March,1
2349,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PLASTIC MATERIALS,M.T,22250,5980,21343,11.76,11.54,6.16,Export,2023,Qtr 1,March,1
2350,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PHARMACEUTICAL PRODUCTS,M.T,4545,6999,24977,-15.93,-5.12,-9.7,Export,2023,Qtr 1,March,1
2351,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,OTHER CHEMICALS,,,21081,75233,,42.52,35.64,Export,2023,Qtr 1,March,1
2353,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,ELECTRIC FANS,TH.NOS,295,981,3501,84.24,57.66,50,Export,2023,Qtr 1,March,1
2354,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,TRANSPORT EQUIPMENT,,,359,1279,,2.5,-2.52,Export,2023,Qtr 1,March,1
2355,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER ELECTRICAL MACHINERY,,,925,3301,,44.99,38,Export,2023,Qtr 1,March,1
2357,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,MACHINERY SPECIALIZED FOR PARTICULAR INDUSTRIES,,,1444,5152,,136.55,125.17,Export,2023,Qtr 1,March,1
2358,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,AUTO PARTS & ACCESSORIES,,,535,1910,,8.74,3.52,Export,2023,Qtr 1,March,1
2359,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER MACHINERY,,,2416,8623,,56.85,49.26,Export,2023,Qtr 1,March,1
2360,OTHER MANUFACTURES GROUP,,GEMS,K.G,143,114,408,-0.8,38.76,32.04,Export,2023,Qtr 1,March,1
2361,OTHER MANUFACTURES GROUP,,JEWELLERY,,,26,91,,-60.22,-62.4,Export,2023,Qtr 1,March,1
2362,OTHER MANUFACTURES GROUP,,FURNITURE,TH.NOS,110,257,917,0,2.65,-2.34,Export,2023,Qtr 1,March,1
2363,OTHER MANUFACTURES GROUP,,MOLASSES,M.T,30038,1214,4332,16801.29,24413.12,22700,Export,2023,Qtr 1,March,1
2364,OTHER MANUFACTURES GROUP,,HANDICRAFTS,,,3,10,,78.9,66.67,Export,2023,Qtr 1,March,1
2365,OTHER MANUFACTURES GROUP,,CEMENT,M.T,436070,4973,17748,5.97,9.34,4.06,Export,2023,Qtr 1,March,1
2366,OTHER MANUFACTURES GROUP,,GUAR AND GUAR PRODUCTS,M.T,3161,1443,5149,10.84,22.26,16.36,Export,2023,Qtr 1,March,1
2367,OTHER MANUFACTURES GROUP,,ALL OTHER ITEMS,,,54809,195606,,23.59,17.62,Export,2023,Qtr 1,March,1
2371,FOOD GROUP,RICE,BASMATI,M.T,55930,19074,66811,-0.83,2.36,2.17,Export,2023,Qtr 2,May,1
2372,FOOD GROUP,RICE,OTHERS,M.T,191148,32197,112779,-30.26,-28.69,-28.83,Export,2023,Qtr 2,May,1
2373,FOOD GROUP,,FISH & FISH PREPARATIONS,M.T,22081,14439,50578,-6.76,-0.74,-0.93,Export,2023,Qtr 2,May,1
2374,FOOD GROUP,,FRUITS,M.T,27523,4379,15340,29.69,143.53,143.07,Export,2023,Qtr 2,May,1
2375,FOOD GROUP,,VEGETABLES,M.T,99618,6217,21777,-28.97,-17.59,-17.74,Export,2023,Qtr 2,May,1
2376,FOOD GROUP,,LEGUMINOUS VEGETABLES (PULSES),M.T,0,0,0,0,0,0,Export,2023,Qtr 2,May,1
2377,FOOD GROUP,,TOBACCO,M.T,3121,1896,6641,40.15,43.07,42.79,Export,2023,Qtr 2,May,1
2378,FOOD GROUP,,WHEAT,M.T,0,0,0,0,0,0,Export,2023,Qtr 2,May,1
2379,FOOD GROUP,,SPICES,M.T,1463,1708,5983,-17.48,-5.7,-5.88,Export,2023,Qtr 2,May,1
2380,FOOD GROUP,,"OIL SEEDS, NUTS AND KERNALS",M.T,2530,1010,3537,-85.53,-76.78,-76.82,Export,2023,Qtr 2,May,1
2381,FOOD GROUP,,SUGAR,M.T,1893,249,872,-95.35,-95.67,-95.67,Export,2023,Qtr 2,May,1
2382,FOOD GROUP,,MEAT AND MEAT PREPARATIONS,M.T,9859,11710,41017,-9.6,-7.89,-8.06,Export,2023,Qtr 2,May,1
2383,FOOD GROUP,,ALL OTHER FOOD ITEMS,,,16839,58985,,-8.24,-8.41,Export,2023,Qtr 2,May,1
2385,TEXTILE GROUP,,RAW COTTON,M.T,49,20,68,-73.5,-81.47,-81.62,Export,2023,Qtr 2,May,1
2386,TEXTILE GROUP,,COTTON YARN,M.T,35435,28650,100355,63.72,57.72,57.43,Export,2023,Qtr 2,May,1
2387,TEXTILE GROUP,,COTTON CLOTH,M.T,34181,49865,174666,21.67,19.3,19.07,Export,2023,Qtr 2,May,1
2388,TEXTILE GROUP,,COTTON CARDED OR COMBED,M.T,0,0,0,0,0,0,Export,2023,Qtr 2,May,1
2389,TEXTILE GROUP,,YARN OTHER THAN COTTON YARN,M.T,1468,1248,4371,19.24,29.38,29.13,Export,2023,Qtr 2,May,1
2390,TEXTILE GROUP,,KNITWEAR,TH.DOZ,16858,94969,332659,-2.49,3.58,3.39,Export,2023,Qtr 2,May,1
2391,TEXTILE GROUP,,BED WEAR,M.T,32064,57521,201485,-6.68,-7.42,-7.59,Export,2023,Qtr 2,May,1
2392,TEXTILE GROUP,,TOWELS,M.T,16987,24975,87483,5.23,10.12,9.91,Export,2023,Qtr 2,May,1
2393,TEXTILE GROUP,,"TENTS,CANVAS & TARPULIN",M.T,2586,2535,8881,-22.29,-37.31,-37.43,Export,2023,Qtr 2,May,1
2394,TEXTILE GROUP,,READYMADE GARMENTS,TH.DOZ,7014,76422,267692,7.91,8.4,8.19,Export,2023,Qtr 2,May,1
2395,TEXTILE GROUP,,"ART,SILK & SYNTHETIC TEXTILE",M.T,7878,10342,36226,12.3,8.39,8.19,Export,2023,Qtr 2,May,1
2396,TEXTILE GROUP,,MADEUP ARTICLES(EXCL TOWELS & BEDWEAR,,,14367,50326,,0.17,-0.03,Export,2023,Qtr 2,May,1
2397,TEXTILE GROUP,,OTHER TEXTILE MATERIALS,,,16086,56346,,4.92,4.72,Export,2023,Qtr 2,May,1
2399,PETROLEUM GROUP & COAL,,PETROLEUM CRUDE,M.T,0,0,0,0,0,0,Export,2023,Qtr 2,May,1
2400,PETROLEUM GROUP & COAL,,PETROLEUM PRODUCTS(EXCL TOP NAPHTA),M.T,6540,673,2357,17192.68,3681.12,3701.61,Export,2023,Qtr 2,May,1
2401,PETROLEUM GROUP & COAL,,PETROLEUM TOP NAPHTA,M.T,0,0,0,0,0,0,Export,2023,Qtr 2,May,1
2402,PETROLEUM GROUP & COAL,,SOLID FUELS (COAL),M.T,0,0,0,0,0,0,Export,2023,Qtr 2,May,1
2404,OTHER MANUFACTURES GROUP,,"CARPETS, RUGS & MATS",TH.SQM,165,1167,4089,-39.86,-39.75,-39.86,Export,2023,Qtr 2,May,1
2406,OTHER MANUFACTURES GROUP,SPORTS GOODS,FOOTBALLS,TH.DOZ,450,6080,21298,15.38,15.6,15.39,Export,2023,Qtr 2,May,1
2407,OTHER MANUFACTURES GROUP,SPORTS GOODS,GLOVES,TH.DOZ,152,1128,3950,-29.3,-28.09,-28.23,Export,2023,Qtr 2,May,1
2408,OTHER MANUFACTURES GROUP,SPORTS GOODS,OTHERS,,,1860,6515,,-24.94,-25.08,Export,2023,Qtr 2,May,1
2409,OTHER MANUFACTURES GROUP,,LEATHER TANNED,M.T,1177,3714,13010,26.43,-6.94,-7.12,Export,2023,Qtr 2,May,1
2411,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GARMENTS,TH.DOZ,150,5479,19193,-0.66,1.1,0.9,Export,2023,Qtr 2,May,1
2412,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GLOVES,TH.DOZ,770,5425,19004,-11.49,-11.43,-11.6,Export,2023,Qtr 2,May,1
2413,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,OTHER LEATHER MANUFACTURES,,,298,1045,,-14.33,-14.55,Export,2023,Qtr 2,May,1
2415,OTHER MANUFACTURES GROUP,FOOTWEAR,LEATHER FOOTWEAR,TH.Pairs,686,2753,9645,4.91,26.8,26.56,Export,2023,Qtr 2,May,1
2416,OTHER MANUFACTURES GROUP,FOOTWEAR,CANVAS FOOTWEAR,TH.Pairs,19,81,285,59.3,112.19,111.11,Export,2023,Qtr 2,May,1
2417,OTHER MANUFACTURES GROUP,FOOTWEAR,OTHER FOOTWEAR,TH.Pairs,1294,673,2357,0.53,10.26,10.09,Export,2023,Qtr 2,May,1
2418,OTHER MANUFACTURES GROUP,,SURGICAL GOODS & MEDICAL INSTRUMENTS,,,8855,31016,,-22.76,-22.91,Export,2023,Qtr 2,May,1
2419,OTHER MANUFACTURES GROUP,,CUTLERY,,,1378,4828,,-17.34,-17.5,Export,2023,Qtr 2,May,1
2420,OTHER MANUFACTURES GROUP,,ONYX MANUFACTURED,M.T,228,132,464,25.62,12.5,12.35,Export,2023,Qtr 2,May,1
2422,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,FERTILIZER MANUFACTURED,M.T,0,0,0,0,0,0,Export,2023,Qtr 2,May,1
2423,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PLASTIC MATERIALS,M.T,31116,10003,35037,44.23,40.35,40.09,Export,2023,Qtr 2,May,1
2424,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PHARMACEUTICAL PRODUCTS,M.T,5145,6869,24060,10.65,-1.4,-1.59,Export,2023,Qtr 2,May,1
2425,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,OTHER CHEMICALS,,,19840,69497,,114.89,114.48,Export,2023,Qtr 2,May,1
2427,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,ELECTRIC FANS,TH.NOS,252,1113,3900,-31.99,-12.54,-12.69,Export,2023,Qtr 2,May,1
2428,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,TRANSPORT EQUIPMENT,,,983,3443,,28.76,28.52,Export,2023,Qtr 2,May,1
2429,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER ELECTRICAL MACHINERY,,,708,2479,,1.01,0.81,Export,2023,Qtr 2,May,1
2431,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,MACHINERY SPECIALIZED FOR PARTICULAR INDUSTRIES,,,1082,3789,,5.03,4.84,Export,2023,Qtr 2,May,1
2432,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,AUTO PARTS & ACCESSORIES,,,419,1466,,4.34,4.12,Export,2023,Qtr 2,May,1
2433,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER MACHINERY,,,1655,5798,,-4.25,-4.43,Export,2023,Qtr 2,May,1
2434,OTHER MANUFACTURES GROUP,,GEMS,K.G,60,63,220,-51.2,-36.47,-36.6,Export,2023,Qtr 2,May,1
2435,OTHER MANUFACTURES GROUP,,JEWELLERY,,,426,1491,,893.82,894,Export,2023,Qtr 2,May,1
2436,OTHER MANUFACTURES GROUP,,FURNITURE,TH.NOS,70,168,587,-26.32,-25.44,-25.6,Export,2023,Qtr 2,May,1
2437,OTHER MANUFACTURES GROUP,,MOLASSES,M.T,154,3,12,545.49,298.35,300,Export,2023,Qtr 2,May,1
2438,OTHER MANUFACTURES GROUP,,HANDICRAFTS,,,25,87,,100,100,Export,2023,Qtr 2,May,1
2439,OTHER MANUFACTURES GROUP,,CEMENT,M.T,465264,5166,18095,39.78,20.47,20.24,Export,2023,Qtr 2,May,1
2440,OTHER MANUFACTURES GROUP,,GUAR AND GUAR PRODUCTS,M.T,2833,1269,4444,-8.34,-4.38,-4.55,Export,2023,Qtr 2,May,1
2441,OTHER MANUFACTURES GROUP,,ALL OTHER ITEMS,,,51830,181548,,9.85,9.64,Export,2023,Qtr 2,May,1
2445,FOOD GROUP,RICE,BASMATI,M.T,53495,17429,61044,-3.72,-7.21,-8.88,Export,2023,Qtr 4,November,1
2446,FOOD GROUP,RICE,OTHERS,M.T,612524,99240,347574,51.88,49.1,46.41,Export,2023,Qtr 4,November,1
2447,FOOD GROUP,,FISH & FISH PREPARATIONS,M.T,18064,10860,38035,8.5,-5.05,-6.77,Export,2023,Qtr 4,November,1
2448,FOOD GROUP,,FRUITS,M.T,72437,5466,19144,19.81,-4.09,-5.82,Export,2023,Qtr 4,November,1
2449,FOOD GROUP,,VEGETABLES,M.T,64285,6174,21623,28.98,40.31,37.77,Export,2023,Qtr 4,November,1
2450,FOOD GROUP,,LEGUMINOUS VEGETABLES (PULSES),M.T,0,0,0,0,0,0,Export,2023,Qtr 4,November,1
2451,FOOD GROUP,,TOBACCO,M.T,1188,768,2689,-31.07,-35.6,-36.76,Export,2023,Qtr 4,November,1
2452,FOOD GROUP,,WHEAT,M.T,0,0,0,0,0,0,Export,2023,Qtr 4,November,1
2453,FOOD GROUP,,SPICES,M.T,3476,2978,10428,-2.3,-3.38,-5.13,Export,2023,Qtr 4,November,1
2454,FOOD GROUP,,"OIL SEEDS, NUTS AND KERNALS",M.T,29021,12414,43479,-61.26,-63.38,-64.04,Export,2023,Qtr 4,November,1
2455,FOOD GROUP,,SUGAR,M.T,0,0,0,0,0,0,Export,2023,Qtr 4,November,1
2456,FOOD GROUP,,MEAT AND MEAT PREPARATIONS,M.T,10490,12310,43114,7.21,10.87,8.87,Export,2023,Qtr 4,November,1
2457,FOOD GROUP,,ALL OTHER FOOD ITEMS,,,31137,109053,,3.79,1.91,Export,2023,Qtr 4,November,1
2459,TEXTILE GROUP,,RAW COTTON,M.T,8916,4679,16387,-1.57,-0.21,-2.02,Export,2023,Qtr 4,November,1
2460,TEXTILE GROUP,,COTTON YARN,M.T,32374,24473,85713,-2.31,-5.28,-7,Export,2023,Qtr 4,November,1
2461,TEXTILE GROUP,,COTTON CLOTH,M.T,27559,39274,137552,-16.57,-17.77,-19.25,Export,2023,Qtr 4,November,1
2462,TEXTILE GROUP,,COTTON CARDED OR COMBED,M.T,22,19,68,8.46,8.18,6.25,Export,2023,Qtr 4,November,1
2463,TEXTILE GROUP,,YARN OTHER THAN COTTON YARN,M.T,1281,985,3450,-1.85,-4.46,-6.17,Export,2023,Qtr 4,November,1
2464,TEXTILE GROUP,,KNITWEAR,TH.DOZ,20260,100765,352918,1.05,-3.13,-4.89,Export,2023,Qtr 4,November,1
2465,TEXTILE GROUP,,BED WEAR,M.T,34635,58701,205595,-14.19,-14.05,-15.61,Export,2023,Qtr 4,November,1
2466,TEXTILE GROUP,,TOWELS,M.T,16425,21287,74557,-17.27,-19.1,-20.56,Export,2023,Qtr 4,November,1
2467,TEXTILE GROUP,,"TENTS,CANVAS & TARPULIN",M.T,4532,3085,10805,19.59,5.29,3.39,Export,2023,Qtr 4,November,1
2468,TEXTILE GROUP,,READYMADE GARMENTS,TH.DOZ,8206,81960,287053,9.38,6.55,4.63,Export,2023,Qtr 4,November,1
2469,TEXTILE GROUP,,"ART,SILK & SYNTHETIC TEXTILE",M.T,6080,8231,28827,-17.24,-13.44,-15,Export,2023,Qtr 4,November,1
2470,TEXTILE GROUP,,MADEUP ARTICLES(EXCL TOWELS & BEDWEAR,,,16656,58334,,-7.37,-9.04,Export,2023,Qtr 4,November,1
2471,TEXTILE GROUP,,OTHER TEXTILE MATERIALS,,,16354,57277,,-7.33,-9,Export,2023,Qtr 4,November,1
2473,PETROLEUM GROUP & COAL,,PETROLEUM CRUDE,M.T,0,0,0,0,0,0,Export,2023,Qtr 4,November,1
2474,PETROLEUM GROUP & COAL,,PETROLEUM PRODUCTS(EXCL TOP NAPHTA),M.T,79976,10676,37391,100,100,100,Export,2023,Qtr 4,November,1
2475,PETROLEUM GROUP & COAL,,PETROLEUM TOP NAPHTA,M.T,10287,1923,6736,-62.52,-58.06,-58.82,Export,2023,Qtr 4,November,1
2476,PETROLEUM GROUP & COAL,,SOLID FUELS (COAL),M.T,0,0,0,0,0,0,Export,2023,Qtr 4,November,1
2478,OTHER MANUFACTURES GROUP,,"CARPETS, RUGS & MATS",TH.SQM,412,1961,6868,53.21,18.63,16.49,Export,2023,Qtr 4,November,1
2480,OTHER MANUFACTURES GROUP,SPORTS GOODS,FOOTBALLS,TH.DOZ,413,5214,18263,-11.37,-15.97,-17.49,Export,2023,Qtr 4,November,1
2481,OTHER MANUFACTURES GROUP,SPORTS GOODS,GLOVES,TH.DOZ,180,1162,4070,-25,-28.73,-30.02,Export,2023,Qtr 4,November,1
2482,OTHER MANUFACTURES GROUP,SPORTS GOODS,OTHERS,,,1883,6597,,-11.04,-12.65,Export,2023,Qtr 4,November,1
2483,OTHER MANUFACTURES GROUP,,LEATHER TANNED,M.T,695,3148,11026,-48.02,-14.46,-16.01,Export,2023,Qtr 4,November,1
2485,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GARMENTS,TH.DOZ,128,5677,19882,-14.67,-10.14,-11.77,Export,2023,Qtr 4,November,1
2486,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GLOVES,TH.DOZ,922,6753,23652,-0.32,-6.18,-7.88,Export,2023,Qtr 4,November,1
2487,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,OTHER LEATHER MANUFACTURES,,,369,1291,,3.18,1.25,Export,2023,Qtr 4,November,1
2489,OTHER MANUFACTURES GROUP,FOOTWEAR,LEATHER FOOTWEAR,TH.Pairs,553,2032,7116,-19.95,-17.65,-19.14,Export,2023,Qtr 4,November,1
2490,OTHER MANUFACTURES GROUP,FOOTWEAR,CANVAS FOOTWEAR,TH.Pairs,9,53,187,-53.21,-50.35,-51.3,Export,2023,Qtr 4,November,1
2491,OTHER MANUFACTURES GROUP,FOOTWEAR,OTHER FOOTWEAR,TH.Pairs,1255,643,2251,-12,-16.1,-17.64,Export,2023,Qtr 4,November,1
2492,OTHER MANUFACTURES GROUP,,SURGICAL GOODS & MEDICAL INSTRUMENTS,,,11499,40273,,9.29,7.31,Export,2023,Qtr 4,November,1
2493,OTHER MANUFACTURES GROUP,,CUTLERY,,,1342,4701,,9.55,7.55,Export,2023,Qtr 4,November,1
2494,OTHER MANUFACTURES GROUP,,ONYX MANUFACTURED,M.T,101,95,333,-35.04,15.44,13.27,Export,2023,Qtr 4,November,1
2496,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,FERTILIZER MANUFACTURED,M.T,0,0,0,0,0,0,Export,2023,Qtr 4,November,1
2497,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PLASTIC MATERIALS,M.T,28120,8248,28888,-1.62,-0.36,-2.16,Export,2023,Qtr 4,November,1
2498,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PHARMACEUTICAL PRODUCTS,M.T,5012,6793,23793,-11.9,-10.35,-11.97,Export,2023,Qtr 4,November,1
2499,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,OTHER CHEMICALS,,,19435,68068,,-21.88,-23.29,Export,2023,Qtr 4,November,1
2501,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,ELECTRIC FANS,TH.NOS,53,227,794,-40.94,-42.53,-43.57,Export,2023,Qtr 4,November,1
2502,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,TRANSPORT EQUIPMENT,,,507,1776,,-38.21,-39.34,Export,2023,Qtr 4,November,1
2503,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER ELECTRICAL MACHINERY,,,878,3075,,-30.89,-32.15,Export,2023,Qtr 4,November,1
2505,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,MACHINERY SPECIALIZED FOR PARTICULAR INDUSTRIES,,,889,3115,,-31.34,-32.58,Export,2023,Qtr 4,November,1
2506,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,AUTO PARTS & ACCESSORIES,,,399,1396,,-29.31,-30.58,Export,2023,Qtr 4,November,1
2507,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,RUBBER TYRES & TUBES,TH.NOS,1516,2715,9510,25.49,21.85,19.64,Export,2023,Qtr 4,November,1
2508,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER MACHINERY,,,2316,8113,,-1.87,-3.65,Export,2023,Qtr 4,November,1
2509,OTHER MANUFACTURES GROUP,,GEMS,K.G,151,122,426,39.24,23.12,21.02,Export,2023,Qtr 4,November,1
2510,OTHER MANUFACTURES GROUP,,JEWELLERY,,,304,1064,,128.59,124.47,Export,2023,Qtr 4,November,1
2511,OTHER MANUFACTURES GROUP,,FURNITURE,TH.NOS,45,182,636,-18.18,-6.11,-7.83,Export,2023,Qtr 4,November,1
2512,OTHER MANUFACTURES GROUP,,MOLASSES,M.T,65,3,12,169.6,66.64,71.43,Export,2023,Qtr 4,November,1
2513,OTHER MANUFACTURES GROUP,,HANDICRAFTS,,,15,54,,100,100,Export,2023,Qtr 4,November,1
2514,OTHER MANUFACTURES GROUP,,CEMENT,M.T,525281,5971,20911,-28.18,-19.35,-20.81,Export,2023,Qtr 4,November,1
2515,OTHER MANUFACTURES GROUP,,GUAR AND GUAR PRODUCTS,M.T,2681,1214,4253,-7.69,-8.74,-10.39,Export,2023,Qtr 4,November,1
2516,OTHER MANUFACTURES GROUP,,ALL OTHER ITEMS,,,54648,191396,,-4.5,-6.23,Export,2023,Qtr 4,November,1
2520,FOOD GROUP,RICE,BASMATI,M.T,55561,18783,66996,-0.04,-1.18,4.95,Export,2023,Qtr 4,October,1
2521,FOOD GROUP,RICE,OTHERS,M.T,403307,66558,237405,101.92,105.91,118.69,Export,2023,Qtr 4,October,1
